HR 4200,,10 43 32.09,-60 34 00.1,4.57
HR 4700,Eps Cru,12 21 21.60,-60 24 04.0,3.59
HR 5267,Bet Cen,14 03 49.39,-60 22 23.2,0.61
HR 4352,,11 12 36.00,-60 19 03.0,4.60
HR 8502,Alp Tuc,22 18 30.10,-60 15 34.9,2.86
HR 4975,,13 12 17.40,-59 55 14.9,4.60
HR 3457,,08 40 37.01,-59 45 40.0,4.33
HR 4853,Bet Cru,12 47 43.20,-59 41 19.0,1.25
HR 4823,,12 41 56.59,-59 41 08.9,4.93
HR 3307,Eps Car,08 22 30.79,-59 30 34.9,1.86
HR 5704,Gam Cir,15 23 22.70,-59 19 14.9,4.51
HR 1355,Eps Ret,04 16 28.90,-59 18 06.8,4.44
HR 3699,Iot Car,09 17 05.40,-59 16 31.1,2.25
HR 3825,,09 34 26.71,-59 13 45.8,4.08
HR 3582,,08 56 58.39,-59 13 45.8,4.92
HR 4177,,10 38 45.10,-59 10 59.2,4.66
HR 4897,Lam Cru,12 54 39.19,-59 08 48.1,4.62
HR 4989,,13 14 14.81,-59 06 11.9,4.92
HR 6229,Eta Ara,16 49 47.09,-59 02 29.0,3.76
HR 4337,,11 08 35.40,-58 58 30.0,3.91
HR 3659,,09 10 58.01,-58 58 00.8,3.44
HR 4257,,10 53 29.59,-58 51 11.9,3.78
HR 5670,Bet Cir,15 17 30.79,-58 48 04.0,4.07
HR 4656,Del Cru,12 15 08.71,-58 44 56.0,2.80
HR 4114,,10 27 52.70,-58 44 21.8,3.82
HR 5371,,14 22 37.01,-58 27 33.8,4.92
HR 7986,Bet Ind,20 54 48.60,-58 27 15.1,3.65
HR 8848,Gam Tuc,23 17 25.80,-58 14 08.9,3.99
HR 3414,,08 35 19.61,-58 00 33.1,4.86
HR 5961,Iot1Nor,16 03 31.90,-57 46 31.1,4.63
HR 4110,,10 27 24.41,-57 38 20.0,4.66
HR 4159,,10 35 35.30,-57 33 28.1,4.45
HR 3696,,09 16 12.19,-57 32 29.0,4.34
HR 1674,Zet Dor,05 05 30.60,-57 28 22.1,4.72
HR 191,Eta Phe,00 43 21.19,-57 27 47.2,4.36
HR 472,Alp Eri,01 37 42.89,-57 14 12.1,0.46
HR 4898,Mu 1Cru,12 54 35.59,-57 10 40.1,4.03
HR 4763,Gam Cru,12 31 09.89,-57 06 47.9,1.63
HR 3803,,09 31 13.30,-57 02 03.8,3.13
HR 8387,Eps Ind,22 03 21.60,-56 47 10.0,4.69
HR 3498,,08 46 42.50,-56 46 10.9,4.49
HR 7790,Alp Pav,20 25 38.90,-56 44 06.0,1.94
HR 4848,,12 46 22.70,-56 29 20.0,4.65
HR 5358,,14 20 19.51,-56 23 12.1,4.33
HR 6462,Gam Ara,17 25 23.59,-56 22 39.0,3.34
HR 2042,Gam Pic,05 49 49.70,-56 10 00.1,4.51
HR 4074,,10 20 54.79,-56 02 35.2,4.50
HR 6285,Zet Ara,16 58 37.20,-55 59 25.1,3.13
HR 4180,,10 39 18.41,-55 36 11.9,4.28
HR 6461,Bet Ara,17 25 18.00,-55 31 48.0,2.85
HR 338,Zet Phe,01 08 23.11,-55 14 44.9,3.92
HR 1465,Alp Dor,04 33 59.81,-55 02 42.0,3.27
HR 4063,,10 19 36.79,-55 01 45.8,4.57
HR 3734,Kap Vel,09 22 06.79,-55 00 38.9,2.50
HR 8368,Del Ind,21 57 55.10,-54 59 33.0,4.40
HR 2212,Del Pic,06 10 17.90,-54 58 07.0,4.81
HR 3485,Del Vel,08 44 42.19,-54 42 29.9,1.96
HR 6024,Kap Nor,16 13 28.70,-54 37 50.2,4.94
HR 3940,Phi Vel,09 56 51.79,-54 34 04.1,3.54
HR 4390,Pi Cen,11 21 00.41,-54 29 28.0,3.89
HR 4460,,11 34 45.70,-54 15 51.1,4.62
HR 4134,,10 31 21.79,-53 42 56.2,4.89
HR 2554,,06 49 51.31,-53 37 19.9,4.40
HR 8655,Eta Gru,22 45 37.90,-53 30 01.1,4.85
HR 5132,Eps Cen,13 39 53.21,-53 27 59.0,2.30
HR 8140,The Ind,21 19 52.01,-53 26 58.9,4.39
HR 5297,,14 09 54.79,-53 26 21.1,4.75
HR 6295,Eps1Ara,16 59 35.11,-53 09 38.2,4.06
HR 3467,,08 42 25.49,-53 06 50.0,4.86
HR 3117,Chi Car,07 56 46.70,-52 58 55.9,3.47
HR 2435,,06 34 58.61,-52 58 32.2,4.39
HR 7134,Lam Tel,18 58 27.70,-52 56 19.0,4.87
HR 3447,,08 40 17.59,-52 55 18.8,3.62
HR 7673,Xi Tel,20 07 23.21,-52 52 50.9,4.94
HR 8747,Zet Gru,23 00 52.80,-52 45 15.1,4.12
HR 3574,,08 56 19.39,-52 43 25.0,4.69
HR 2326,Alp Car,06 23 57.10,-52 41 44.9,-0.72
HR 2934,,07 35 39.70,-52 32 02.0,4.94
HR 4638,Rho Cen,12 11 39.10,-52 22 07.0,3.96
HR 5649,Zet Lup,15 12 17.09,-52 05 57.1,3.41
HR 7920,Eta Ind,20 44 02.30,-51 55 16.0,4.51
HR 3990,,10 08 56.30,-51 48 40.0,4.86
HR 566,Chi Eri,01 55 57.50,-51 36 32.0,3.70
HR 674,Phi Eri,02 16 30.60,-51 30 43.9,3.56
